"","theta","b","lambda","pr","pradj","cr","cradj","type"
"1",0,0,-0.1,0.025,0.025,0.272271459875772,0.381458838062036,"formula"
"2",0.05,0,-0.1,0.051051554499294,0.0847733173441132,0.528319274811149,0.70107839141793,"formula"
"3",0.1,0,-0.1,0.0951790747077629,0.21553556464206,0.772784643625556,0.912555494236347,"formula"
"4",0.15,0,-0.1,0.162484375756,0.420326582068621,0.922928917371812,0.98558550186691,"formula"
"5",0.2,0,-0.1,0.254923254172124,0.649971637746159,0.982225780450131,0.998714990186787,"formula"
"6",0.25,0,-0.1,0.369244528459098,0.834361737463721,0.997274164007869,0.999939509419511,"formula"
"7",0.3,0,-0.1,0.496555943046126,0.940365338287326,0.999725934998357,0.999998517904378,"formula"
"8",0.35,0,-0.1,0.624222159604315,0.983989557267003,0.999982102113926,0.999999981271655,"formula"
"9",0.4,0,-0.1,0.739501903149377,0.996837620708996,0.999999245605283,0.999999999878682,"formula"
"10",0.45,0,-0.1,0.833236075416133,0.999544650762731,0.99999997956738,0.999999999999599,"formula"
"11",0.5,0,-0.1,0.90186543522957,0.99995250708682,0.999999999645517,0.999999999999999,"formula"
"12",0,0,0,0.025,0.025,0.025,0.025,"formula"
"13",0.05,0,0,0.051051554499294,0.0847733173441132,0.0997529077563555,0.1290680008696,"formula"
"14",0.1,0,0,0.0951790747077629,0.21553556464206,0.272271459875772,0.381458838062036,"formula"
"15",0.15,0,0,0.162484375756,0.420326582068621,0.528319274811149,0.70107839141793,"formula"
"16",0.2,0,0,0.254923254172124,0.649971637746159,0.772784643625556,0.912555494236347,"formula"
"17",0.25,0,0,0.369244528459098,0.834361737463721,0.922928917371812,0.98558550186691,"formula"
"18",0.3,0,0,0.496555943046126,0.940365338287326,0.982225780450131,0.998714990186787,"formula"
"19",0.35,0,0,0.624222159604315,0.983989557267003,0.997274164007869,0.999939509419511,"formula"
"20",0.4,0,0,0.739501903149377,0.996837620708996,0.999725934998357,0.999998517904378,"formula"
"21",0.45,0,0,0.833236075416133,0.999544650762731,0.999982102113926,0.999999981271655,"formula"
"22",0.5,0,0,0.90186543522957,0.99995250708682,0.999999245605283,0.999999999878682,"formula"
