"","theta","b","lambda","pr","pradj","cr","cradj","type"
"1",0,0,-0.1,0.0248,0.0272,0.2666,0.3878,"simulation"
"2",0.05,0,-0.1,0.0474,0.0811,0.5256,0.6791,"simulation"
"3",0.1,0,-0.1,0.0988,0.2172,0.7717,0.9108,"simulation"
"4",0.15,0,-0.1,0.1646,0.4249,0.923,0.9835,"simulation"
"5",0.2,0,-0.1,0.2571,0.6362,0.9804,0.9984,"simulation"
"6",0.25,0,-0.1,0.3838,0.8435,0.9979,1,"simulation"
"7",0.3,0,-0.1,0.5081,0.9399,0.999,1,"simulation"
"8",0.35,0,-0.1,0.6208,0.9839,1,1,"simulation"
"9",0.4,0,-0.1,0.7353,0.9961,1,1,"simulation"
"10",0.45,0,-0.1,0.8365,0.9991,1,1,"simulation"
"11",0.5,0,-0.1,0.911,1,1,1,"simulation"
"12",0,0,0,0.0236,0.03,0.029599998,0.030400002,"simulation"
"13",0.05,0,0,0.058,0.082799998,0.104000002,0.123600002,"simulation"
"14",0.1,0,0,0.09879998,0.218,0.271599998,0.390399998,"simulation"
"15",0.15,0,0,0.18160002,0.4352,0.540399998,0.691999998,"simulation"
"16",0.2,0,0,0.25800002,0.642799998,0.7776,0.9132,"simulation"
"17",0.25,0,0,0.3632,0.826799998,0.923200002,0.988799998,"simulation"
"18",0.3,0,0,0.49079998,0.941200002,0.9812,0.998399998,"simulation"
"19",0.35,0,0,0.61919998,0.984,0.9968,1,"simulation"
"20",0.4,0,0,0.7412,0.994800002,1,1,"simulation"
"21",0.45,0,0,0.83399998,0.998800002,1,1,"simulation"
"22",0.5,0,0,0.8968,1,1,1,"simulation"
"23",0,0,0.1,0.0212,0.028800002,0,0.00040000002,"simulation"
"24",0.05,0,0.1,0.061999998,0.092000002,0.0039999998,0.00119999998,"simulation"
"25",0.1,0,0.1,0.1028,0.2132,0.0288,0.0272,"simulation"
"26",0.15,0,0.1,0.162800002,0.441999998,0.0915999998,0.13919999998,"simulation"
"27",0.2,0,0.1,0.248800002,0.6516,0.274,0.39559999998,"simulation"
"28",0.25,0,0.1,0.368800002,0.833999998,0.5448,0.7148,"simulation"
"29",0.3,0,0.1,0.504400002,0.938800002,0.7716000002,0.91080000002,"simulation"
"30",0.35,0,0.1,0.618,0.983200002,0.9215999998,0.9768,"simulation"
"31",0.4,0,0.1,0.752000002,0.993999998,0.9827999998,0.99640000002,"simulation"
"32",0.45,0,0.1,0.8296,1,0.9991999998,1,"simulation"
"33",0.5,0,0.1,0.906,1,0.9995999998,1,"simulation"
"34",0,0,0.3,0.022,0.028,0,0,"simulation"
"35",0.05,0,0.3,0.0492,0.086000002,0,0,"simulation"
"36",0.1,0,0.3,0.096799998,0.2156,0,0,"simulation"
"37",0.15,0,0.3,0.1644,0.4376,0,0,"simulation"
"38",0.2,0,0.3,0.250400002,0.6592,4e-04,0,"simulation"
"39",0.25,0,0.3,0.372,0.8192,0.0035999998,0.0023999998,"simulation"
"40",0.3,0,0.3,0.488800002,0.946800002,0.0295999998,0.0304,"simulation"
"41",0.35,0,0.3,0.622,0.982799998,0.1011999998,0.1248000002,"simulation"
"42",0.4,0,0.3,0.730799998,0.995600002,0.2755999998,0.3891999998,"simulation"
"43",0.45,0,0.3,0.8308,0.999599998,0.5399999998,0.7216000002,"simulation"
"44",0.5,0,0.3,0.904800002,1,0.7799999998,0.9164000002,"simulation"
"45",0,0.333333333333333,-0.1,0.025600002,0.028400002,0.3212,0.3824,"simulation"
"46",0.05,0.333333333333333,-0.1,0.051999998,0.0876,0.61199998,0.6992,"simulation"
"47",0.1,0.333333333333333,-0.1,0.095199998,0.214000002,0.85319998,0.9236,"simulation"
"48",0.15,0.333333333333333,-0.1,0.167600002,0.427600002,0.96640002,0.9868,"simulation"
"49",0.2,0.333333333333333,-0.1,0.245999998,0.646800002,0.99559998,0.99919998,"simulation"
"50",0.25,0.333333333333333,-0.1,0.363200002,0.838799998,1,1,"simulation"
"51",0.3,0.333333333333333,-0.1,0.483199998,0.946,1,1,"simulation"
"52",0.35,0.333333333333333,-0.1,0.601599998,0.986400002,1,1,"simulation"
"53",0.4,0.333333333333333,-0.1,0.750399998,0.9948,1,1,"simulation"
"54",0.45,0.333333333333333,-0.1,0.8156,0.999200002,1,1,"simulation"
"55",0.5,0.333333333333333,-0.1,0.906000002,1,1,1,"simulation"
"56",0,0.333333333333333,0,0.023600002,0.020800002,0.023600002,0.0216,"simulation"
"57",0.05,0.333333333333333,0,0.0524,0.082000002,0.112400002,0.12519998,"simulation"
"58",0.1,0.333333333333333,0,0.0976,0.219199998,0.3276,0.37719998,"simulation"
"59",0.15,0.333333333333333,0,0.160800002,0.408400002,0.607199998,0.6992,"simulation"
"60",0.2,0.333333333333333,0,0.252399998,0.639599998,0.847200002,0.9116,"simulation"
"61",0.25,0.333333333333333,0,0.343199998,0.8264,0.9616,0.98479998,"simulation"
"62",0.3,0.333333333333333,0,0.493199998,0.941999998,0.993999998,0.9988,"simulation"
"63",0.35,0.333333333333333,0,0.637200002,0.984400002,0.9984,0.99919998,"simulation"
"64",0.4,0.333333333333333,0,0.751200002,0.997199998,0.999599998,1,"simulation"
"65",0.45,0.333333333333333,0,0.823999998,0.999599998,1,1,"simulation"
"66",0.5,0.333333333333333,0,0.907599998,1,1,1,"simulation"
"67",0,0.333333333333333,0.1,0.0268,0.0316,4e-04,4e-04,"simulation"
"68",0.05,0.333333333333333,0.1,0.0508,0.0928,0.0032,0.0024,"simulation"
"69",0.1,0.333333333333333,0.1,0.0932,0.2108,0.0264,0.0308,"simulation"
"70",0.15,0.333333333333333,0.1,0.156,0.4212,0.112,0.1324,"simulation"
"71",0.2,0.333333333333333,0.1,0.25,0.6444,0.3184,0.3828,"simulation"
"72",0.25,0.333333333333333,0.1,0.3728,0.8308,0.6068,0.7084,"simulation"
"73",0.3,0.333333333333333,0.1,0.5064,0.9432,0.8468,0.914,"simulation"
"74",0.35,0.333333333333333,0.1,0.6332,0.9852,0.9724,0.9876,"simulation"
"75",0.4,0.333333333333333,0.1,0.746,0.9984,0.9932,0.9984,"simulation"
"76",0.45,0.333333333333333,0.1,0.844,0.9992,0.9992,0.9996,"simulation"
"77",0.5,0.333333333333333,0.1,0.8968,1,1,1,"simulation"
"78",0,0.333333333333333,0.3,0.026399998,0.024000002,0,0,"simulation"
"79",0.05,0.333333333333333,0.3,0.060399998,0.087999998,0,0,"simulation"
"80",0.1,0.333333333333333,0.3,0.096400002,0.225599998,0,0,"simulation"
"81",0.15,0.333333333333333,0.3,0.155200002,0.4504,0,0,"simulation"
"82",0.2,0.333333333333333,0.3,0.241600002,0.6336,0.0007999998,0,"simulation"
"83",0.25,0.333333333333333,0.3,0.3612,0.836800002,0.0043999998,0.0028000002,"simulation"
"84",0.3,0.333333333333333,0.3,0.492399998,0.929999998,0.0188,0.0224000002,"simulation"
"85",0.35,0.333333333333333,0.3,0.617599998,0.9864,0.1092000002,0.1196,"simulation"
"86",0.4,0.333333333333333,0.3,0.7476,0.998400002,0.3315999998,0.3904000002,"simulation"
"87",0.45,0.333333333333333,0.3,0.819999998,0.9996,0.6043999998,0.7068,"simulation"
